City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
441,khash,28.2211,61.2158,-0.77,49,1,2.08,IR,1674692480
442,xiaoshi,41.2971,124.1209,-12.58,86,100,0.84,CN,1674692531
443,apollonia,36.9716,24.7231,8.77,73,100,4.58,GR,1674692532
444,ankpa,7.3706,7.6253,24.33,25,6,1.65,NG,1674692533
445,chicama,-7.8447,-79.1469,21.3,65,71,2.74,PE,1674692534
446,cairns,-16.9167,145.7667,31.73,72,75,4.12,AU,1674692384
447,sakakah,29.9697,40.2064,8.76,54,0,2.57,SA,1674692536
448,nicoya,10.1483,-85.452,26.32,74,85,2.57,CR,1674692536
449,kutoarjo,-7.7169,109.9128,24.3,92,100,0.81,ID,1674692537
450,altamira,-3.2033,-52.2064,22.42,98,81,1.05,BR,1674692539
451,tura,25.5198,90.2201,15.43,53,89,1.1,IN,1674692540
452,vestmannaeyjar,63.4427,-20.2734,6.35,73,100,8.33,IS,1674692541
453,san ramon,37.7799,-121.978,19.12,40,0,3.09,US,1674692303
454,juneau,58.3019,-134.4197,8.45,97,100,8.75,US,1674692317
455,maceio,-9.6658,-35.7353,23.69,88,20,2.06,BR,1674692428
456,dumas,35.8656,-101.9732,0.85,69,0,5.66,US,1674692545
457,solnechnyy,50.7214,136.6319,-22.62,93,100,0.81,RU,1674692546
458,whakatane,-37.9585,176.9854,23.82,72,80,3.13,NZ,1674692547
459,iranshahr,27.2025,60.6848,6.19,33,0,0.0,IR,1674692548
460,port macquarie,-31.4333,152.9167,29.38,60,5,2.64,AU,1674692275
461,labuhan,-6.8844,112.2051,25.33,86,100,3.27,ID,1674692550
462,tarnos,43.5417,-1.4628,4.23,93,100,1.54,FR,1674692551
463,cidreira,-30.1811,-50.2056,25.0,85,7,6.36,BR,1674692552
464,kailua,21.4022,-157.7394,27.99,58,40,4.63,US,1674692462
465,marjamaa,58.9039,24.4306,3.11,95,100,4.3,EE,1674692553
466,srednekolymsk,67.45,153.6833,-34.58,97,92,2.03,RU,1674692554
467,touros,-5.1989,-35.4608,26.02,74,3,4.66,BR,1674692555
468,tessalit,20.1986,1.0114,20.57,14,72,3.28,ML,1674692555
469,keshorai patan,25.3,75.9333,10.28,86,7,2.7,IN,1674692556
470,harlingen,26.1906,-97.6961,17.33,52,0,5.09,US,1674692552
471,muros,42.7762,-9.0603,8.24,76,12,4.99,ES,1674692557
472,hay river,60.8156,-115.7999,-12.01,85,75,4.63,CA,1674692459
473,shirdi,19.7667,74.4833,19.62,37,88,3.96,IN,1674692558
474,platon sanchez,21.2833,-98.3667,18.87,47,1,5.63,MX,1674692559
475,alta floresta,-9.8756,-56.0861,22.68,94,41,0.52,BR,1674692389
476,ikalamavony,-21.15,46.5833,19.8,92,100,3.15,MG,1674692560
477,cabedelo,-6.9811,-34.8339,26.37,72,0,5.05,BR,1674692561
478,xai-xai,-25.0519,33.6442,24.62,81,3,5.93,MZ,1674692562
479,quatre cocos,-20.2078,57.7625,24.06,95,100,5.87,MU,1674692563
480,general roca,-39.0333,-67.5833,29.28,10,4,4.57,AR,1674692563
